Kernel Density Estimator
Molecularity	Frequency
9.000000	0.001178
10.000000	0.001218
11.000000	0.001259
12.000000	0.001301
13.000000	0.001344
14.000000	0.001388
15.000000	0.001433
16.000000	0.001479
17.000000	0.001527
18.000000	0.001576
19.000000	0.001626
20.000000	0.001677
21.000000	0.001729
22.000000	0.001783
23.000000	0.001837
24.000000	0.001893
25.000000	0.001950
26.000000	0.002009
27.000000	0.002068
28.000000	0.002129
29.000000	0.002191
30.000000	0.002254
31.000000	0.002318
32.000000	0.002384
33.000000	0.002450
34.000000	0.002518
35.000000	0.002587
36.000000	0.002657
37.000000	0.002728
38.000000	0.002800
39.000000	0.002874
40.000000	0.002948
41.000000	0.003023
42.000000	0.003100
43.000000	0.003177
44.000000	0.003255
45.000000	0.003334
46.000000	0.003415
47.000000	0.003495
48.000000	0.003577
49.000000	0.003659
50.000000	0.003742
51.000000	0.003826
52.000000	0.003911
53.000000	0.003995
54.000000	0.004081
55.000000	0.004167
56.000000	0.004253
57.000000	0.004340
58.000000	0.004427
59.000000	0.004514
60.000000	0.004601
61.000000	0.004689
62.000000	0.004776
63.000000	0.004863
64.000000	0.004951
65.000000	0.005038
66.000000	0.005125
67.000000	0.005212
68.000000	0.005298
69.000000	0.005384
70.000000	0.005469
71.000000	0.005554
72.000000	0.005638
73.000000	0.005721
74.000000	0.005804
75.000000	0.005885
76.000000	0.005966
77.000000	0.006046
78.000000	0.006124
79.000000	0.006201
80.000000	0.006277
81.000000	0.006352
82.000000	0.006425
83.000000	0.006497
84.000000	0.006567
85.000000	0.006635
86.000000	0.006702
87.000000	0.006767
88.000000	0.006830
89.000000	0.006891
90.000000	0.006950
91.000000	0.007007
92.000000	0.007062
93.000000	0.007115
94.000000	0.007165
95.000000	0.007213
96.000000	0.007259
97.000000	0.007302
98.000000	0.007343
99.000000	0.007382
100.000000	0.007417
101.000000	0.007451
102.000000	0.007481
103.000000	0.007509
104.000000	0.007534
105.000000	0.007557
106.000000	0.007576
107.000000	0.007593
108.000000	0.007607
109.000000	0.007618
110.000000	0.007626
111.000000	0.007632
112.000000	0.007634
113.000000	0.007634
114.000000	0.007631
115.000000	0.007625
116.000000	0.007616
117.000000	0.007604
118.000000	0.007589
119.000000	0.007571
120.000000	0.007551
121.000000	0.007528
122.000000	0.007502
123.000000	0.007473
124.000000	0.007442
125.000000	0.007408
126.000000	0.007371
127.000000	0.007331
128.000000	0.007289
129.000000	0.007245
130.000000	0.007198
131.000000	0.007149
132.000000	0.007097
133.000000	0.007043
134.000000	0.006987
135.000000	0.006928
136.000000	0.006867
137.000000	0.006805
138.000000	0.006740
139.000000	0.006673
140.000000	0.006605
141.000000	0.006534
142.000000	0.006462
143.000000	0.006389
144.000000	0.006313
145.000000	0.006237
146.000000	0.006158
147.000000	0.006079
148.000000	0.005998
149.000000	0.005916
150.000000	0.005833
151.000000	0.005749
152.000000	0.005664
153.000000	0.005578
154.000000	0.005491
155.000000	0.005403
156.000000	0.005315
157.000000	0.005226
158.000000	0.005137
159.000000	0.005048
160.000000	0.004958
161.000000	0.004868
162.000000	0.004777
163.000000	0.004687
164.000000	0.004596
165.000000	0.004506
166.000000	0.004415
167.000000	0.004325
168.000000	0.004235
169.000000	0.004145
170.000000	0.004056
171.000000	0.003967
172.000000	0.003879
173.000000	0.003791
174.000000	0.003703
175.000000	0.003617
176.000000	0.003530
177.000000	0.003445
178.000000	0.003361
179.000000	0.003277
180.000000	0.003194
181.000000	0.003112
182.000000	0.003031
183.000000	0.002951
184.000000	0.002873
185.000000	0.002795
186.000000	0.002718
187.000000	0.002642
188.000000	0.002568
189.000000	0.002494
190.000000	0.002422
191.000000	0.002351
192.000000	0.002282
193.000000	0.002213
194.000000	0.002146
195.000000	0.002080
196.000000	0.002015
197.000000	0.001952
198.000000	0.001890
199.000000	0.001829
200.000000	0.001769
201.000000	0.001711
202.000000	0.001654
203.000000	0.001599
204.000000	0.001544
205.000000	0.001491
206.000000	0.001440
207.000000	0.001389
208.000000	0.001340
209.000000	0.001292
210.000000	0.001246
211.000000	0.001200
212.000000	0.001156
213.000000	0.001113
214.000000	0.001072
215.000000	0.001031
216.000000	0.000992
217.000000	0.000954
