Kernel Density Estimator
Molecularity	Frequency
9.000000	0.001103
10.000000	0.001141
11.000000	0.001179
12.000000	0.001219
13.000000	0.001260
14.000000	0.001301
15.000000	0.001344
16.000000	0.001388
17.000000	0.001433
18.000000	0.001480
19.000000	0.001527
20.000000	0.001576
21.000000	0.001626
22.000000	0.001677
23.000000	0.001729
24.000000	0.001782
25.000000	0.001837
26.000000	0.001893
27.000000	0.001950
28.000000	0.002008
29.000000	0.002067
30.000000	0.002128
31.000000	0.002189
32.000000	0.002252
33.000000	0.002317
34.000000	0.002382
35.000000	0.002448
36.000000	0.002516
37.000000	0.002585
38.000000	0.002655
39.000000	0.002726
40.000000	0.002798
41.000000	0.002871
42.000000	0.002945
43.000000	0.003021
44.000000	0.003097
45.000000	0.003174
46.000000	0.003252
47.000000	0.003331
48.000000	0.003411
49.000000	0.003492
50.000000	0.003573
51.000000	0.003656
52.000000	0.003739
53.000000	0.003822
54.000000	0.003907
55.000000	0.003992
56.000000	0.004077
57.000000	0.004163
58.000000	0.004249
59.000000	0.004335
60.000000	0.004422
61.000000	0.004509
62.000000	0.004597
63.000000	0.004684
64.000000	0.004772
65.000000	0.004859
66.000000	0.004946
67.000000	0.005033
68.000000	0.005120
69.000000	0.005207
70.000000	0.005293
71.000000	0.005379
72.000000	0.005464
73.000000	0.005549
74.000000	0.005633
75.000000	0.005717
76.000000	0.005799
77.000000	0.005881
78.000000	0.005961
79.000000	0.006041
80.000000	0.006119
81.000000	0.006197
82.000000	0.006273
83.000000	0.006347
84.000000	0.006420
85.000000	0.006492
86.000000	0.006562
87.000000	0.006631
88.000000	0.006697
89.000000	0.006762
90.000000	0.006825
91.000000	0.006887
92.000000	0.006946
93.000000	0.007003
94.000000	0.007058
95.000000	0.007110
96.000000	0.007161
97.000000	0.007209
98.000000	0.007255
99.000000	0.007298
100.000000	0.007339
101.000000	0.007377
102.000000	0.007413
103.000000	0.007447
104.000000	0.007477
105.000000	0.007505
106.000000	0.007530
107.000000	0.007553
108.000000	0.007572
109.000000	0.007589
110.000000	0.007603
111.000000	0.007614
112.000000	0.007623
113.000000	0.007628
114.000000	0.007631
115.000000	0.007631
116.000000	0.007627
117.000000	0.007621
118.000000	0.007612
119.000000	0.007601
120.000000	0.007586
121.000000	0.007568
122.000000	0.007548
123.000000	0.007525
124.000000	0.007499
125.000000	0.007470
126.000000	0.007439
127.000000	0.007405
128.000000	0.007368
129.000000	0.007329
130.000000	0.007287
131.000000	0.007243
132.000000	0.007196
133.000000	0.007146
134.000000	0.007095
135.000000	0.007041
136.000000	0.006984
137.000000	0.006926
138.000000	0.006865
139.000000	0.006803
140.000000	0.006738
141.000000	0.006671
142.000000	0.006603
143.000000	0.006533
144.000000	0.006461
145.000000	0.006387
146.000000	0.006312
147.000000	0.006235
148.000000	0.006157
149.000000	0.006077
150.000000	0.005997
151.000000	0.005915
152.000000	0.005832
153.000000	0.005747
154.000000	0.005662
155.000000	0.005576
156.000000	0.005490
157.000000	0.005402
158.000000	0.005314
159.000000	0.005226
160.000000	0.005136
161.000000	0.005047
162.000000	0.004957
163.000000	0.004867
164.000000	0.004777
165.000000	0.004686
166.000000	0.004596
167.000000	0.004505
168.000000	0.004415
169.000000	0.004325
170.000000	0.004235
171.000000	0.004145
172.000000	0.004056
173.000000	0.003967
174.000000	0.003878
175.000000	0.003790
176.000000	0.003703
177.000000	0.003616
178.000000	0.003530
179.000000	0.003445
180.000000	0.003361
181.000000	0.003277
182.000000	0.003194
183.000000	0.003113
184.000000	0.003032
185.000000	0.002952
186.000000	0.002873
187.000000	0.002795
188.000000	0.002718
189.000000	0.002643
190.000000	0.002568
191.000000	0.002495
192.000000	0.002423
193.000000	0.002352
194.000000	0.002282
195.000000	0.002214
196.000000	0.002146
197.000000	0.002080
198.000000	0.002016
199.000000	0.001952
200.000000	0.001890
201.000000	0.001830
202.000000	0.001770
203.000000	0.001712
204.000000	0.001655
205.000000	0.001599
206.000000	0.001545
207.000000	0.001492
208.000000	0.001441
209.000000	0.001390
210.000000	0.001341
211.000000	0.001293
212.000000	0.001247
213.000000	0.001201
214.000000	0.001157
215.000000	0.001114
216.000000	0.001073
217.000000	0.001032
218.000000	0.000993
219.000000	0.000955
220.000000	0.000918
221.000000	0.000882
222.000000	0.000847
